Region,District,Male Count,Female Count,Total Population,Pop prop,Area_km2,Pop Density,Count Labor force ,prop labor force,Female labor count,Female labor prop,Male Labor count,Male labor prop,Num_hosp,Num_beds,Monthly income (HKD),No. households,Pct_0-14,Pct_15-24,Pct_25-64,Pct_65+,Pct_Sec Educ,Pct_PostSec w/ degree
Hong Kong Island,Central and Western,107700,133900,241500,3.31,12.44,19413.18,141800,58.72,75100,56.09,66700,61.93,2,535,41000,88 600, 10.5 ,10,62.9,16.6,90.5, 44.6
Hong Kong Island,Wan Chai,78300,101100,179400,2.46,9.83,18250.25,104400,58.19,55500,54.9,48900,62.45,2,886,42000, 68 900,9.8, 8.5,64.3,17.4,91, 44.7
Hong Kong Island,Eastern,244800,301600,546400,7.48,18.56,29439.66,297700,54.48,154200,51.13,143500,58.62,1,1739,33000,188 300, 11.4 ,9.1,62.3,17.2,86.1, 32.2
Hong Kong Island,Southern,118500,145400,263900,3.61,38.85,6792.79,147800,56.01,76800,52.82,71000,59.92,7,3009,34300, 86 400, 11.8 ,9.5,62.4,16.2,82.6, 30.0
Kowloon,Yau Tsim Mong,153800,179800,333600,4.57,6.99,47725.32,186800,56,92900,51.67,93800,60.99,1,1186,28000, 125 800, 11.6 ,10.3,62.6,15.5,85.9, 32.0
Kowloon,Sham Shui Po,185000,215600,400500,5.48,9.35,42834.22,214600,53.58,106100,49.21,108500,58.65,1,1206,23100,146 200, 12.4 ,9.5,61.9,16.2,80.7,23.8
Kowloon,Kowloon City,186100,225800,411900,5.64,10.02,41107.78,222400,53.99,114600,50.75,107800,57.93,4,3405,29500, 143 100, 12.5 ,9.4,62.2,15.9,86.1, 32.4
Kowloon,Wong Tai Sin,195800,224800,420600,5.76,9.3,45225.81,221100,52.57,106700,47.46,114400,58.43,3,1091,24000,146 200, 10.6 ,10.1,61,18.3,77, 18.1
Kowloon,Kwun Tong,308800,355300,664100,9.09,11.27,58926.35,346500,52.18,167800,47.23,178700,57.87,1,1415,22000,241 200,11.9,9.9,60.7,17.5,78, 17.8
New Territories,Kwai Tsing,237200,270400,507700,6.95,23.34,21752.36,269000,52.98,129700,47.97,139200,58.68,2,2653,25000, 174 800,11.5,10.3,61.3,16.9,77.6,17.8
New Territories,Tsuen Wan,144600,169000,313600,4.29,61.71,5081.83,175900,56.09,86300,51.07,89600,61.96,1,800,31000,109 600,11.5,9.9,63.1,15.5,84.6,27.9
New Territories,Tuen Mun,224300,256200,480500,6.58,82.89,5796.84,261200,54.36,123300,48.13,137900,61.48,3,3591,25000, 178 300,11.6,10.1,62.7,15.6,79.5,17.9
New Territories,Yuen Long,290200,334800,625000,8.55,138.46,4513.94,329600,52.74,158000,47.19,171600,59.13,2,1095,26000,218 400,12.2,10.5,62,15.4,80.9, 19.6
New Territories,North,146900,165900,312700,4.28,136.61,2289,158500,50.69,72900,43.94,85600,58.27,1,600,24700,107 800, 12.6 ,10,61.6,15.8,78.7, 17.9
New Territories,Tai Po,139400,164200,303700,4.16,136.15,2230.63,161900,53.31,78600,47.87,83300,59.76,2,1555,30700, 101 900,11.9,9.5,63.2,15.4,81.7, 24.7
New Territories,Sha Tin,309800,367800,677600,9.27,68.71,9861.74,360400,53.19,178000,48.4,182400,58.88,4,2589,29600,231 100, 11.5 ,10,61.7,16.8,82.6,27
New Territories,Sai Kung,211200,252600,463700,6.35,129.65,3576.55,259000,55.86,130900,51.82,128100,60.65,2,1128,35800, 151 900,11.4,10,62.8,15.8,83.6,28
New Territories,Islands,71700,88600,160300,2.19,175.12,915.37,88100,54.96,44900,50.68,43100,60.11,2,247,31300, 63 200, 12.5,10.7,61.8,15,84.1, 32.4
